1.GeneID,transcript_name,gene_ids,genes_names
ENSMUST00000109584.7,Rbm39-202,ENSMUSG00000027620,Rbm39
ENSMUST00000100737.9,P2rx7-203,ENSMUSG00000029468,P2rx7
ENSMUST00000183460.1,0,0,0
ENSMUST00000048129.5,Piwil2-201,ENSMUSG00000033644,Piwil2
ENSMUST00000238165.1,BC037704-202,ENSMUSG00000117698,
ENSMUST00000224688.1,Gm11290-204,ENSMUSG00000085827,Gm11290
ENSMUST00000027989.12,Hsd17b7-201,ENSMUSG00000026675,Hsd17b7
ENSMUST00000192965.1,Gm37168-201,ENSMUSG00000103174,Gm37168
ENSMUST00000040576.9,Parm1-201,ENSMUSG00000034981,Parm1
ENSMUST00000096232.5,Cebpd-201,ENSMUSG00000071637,Cebpd
ENSMUST00000018644.2,Adora2b-201,ENSMUSG00000018500,Adora2b
ENSMUST00000010211.6,Rassf1-201,ENSMUSG00000010067,Rassf1
ENSMUST00000070956.3,Gm11696-201,ENSMUSG00000056687,Gm11696
ENSMUST00000236942.1,Gm30541-201,ENSMUSG00000118369,
ENSMUST00000033054.9,Adm-201,ENSMUSG00000030790,Adm
ENSMUST00000122044.7,Csnk1e-203,ENSMUSG00000022433,Csnk1e
ENSMUST00000228232.1,Hnrnpc-210,ENSMUSG00000060373,Hnrnpc
ENSMUST00000004622.6,Gab2-201,ENSMUSG00000004508,Gab2
ENSMUST00000130481.1,Plcxd2-201,ENSMUSG00000087141,Plcxd2
ENSMUST00000040151.8,Sapcd1-201,ENSMUSG00000036185,Sapcd1
ENSMUST00000064941.6,Nr1d1-201,ENSMUSG00000020889,Nr1d1
ENSMUST00000166951.1,Gm17055-201,ENSMUSG00000090576,Gm17055
ENSMUST00000148293.1,Gm15657-201,ENSMUSG00000090214,Gm15657
ENSMUST00000181774.2,4732491K20Rik-201,ENSMUSG00000097350,4732491K20Rik
ENSMUST00000033415.14,Nadsyn1-201,ENSMUSG00000031090,Nadsyn1
ENSMUST00000029574.12,Vcam1-201,ENSMUSG00000027962,Vcam1
ENSMUST00000135244.1,E030042O20Rik-201,ENSMUSG00000087222,E030042O20Rik
ENSMUST00000217156.1,Gm47248-201,ENSMUSG00000111737,Gm47248
ENSMUST00000020982.6,Klf11-201,ENSMUSG00000020653,Klf11
ENSMUST00000079323.7,Mctp2-201,ENSMUSG00000032776,Mctp2
ENSMUST00000018287.9,Mafk-201,ENSMUSG00000018143,Mafk
ENSMUST00000038121.4,Gm7008-201,ENSMUSG00000035983,Gm7008
ENSMUST00000199072.1,Gm43672-201,ENSMUSG00000106019,Gm43672
ENSMUST00000029748.7,Fcgr1-201,ENSMUSG00000015947,Fcgr1
ENSMUST00000115421.2,Steap4-201,ENSMUSG00000012428,Steap4
ENSMUST00000185943.1,5031425E22Rik-202,ENSMUSG00000073147,5031425E22Rik
ENSMUST00000051705.6,Kcne1-201,ENSMUSG00000039639,Kcne1
ENSMUST00000048655.7,Dusp10-201,ENSMUSG00000039384,Dusp10
ENSMUST00000152452.7,Rprd1b-207,ENSMUSG00000027651,Rprd1b
ENSMUST00000001672.11,Ifrd1-201,ENSMUSG00000001627,Ifrd1
ENSMUST00000064187.11,Thra-201,ENSMUSG00000058756,Thra
ENSMUST00000149472.2,1700086P04Rik-201,ENSMUSG00000085085,1700086P04Rik
ENSMUST00000063980.7,Zkscan7-201,ENSMUSG00000063488,Zkscan7
ENSMUST00000186870.6,Rbis-204,ENSMUSG00000078784,1810022K09Rik
ENSMUST00000144826.1,Noct-202,ENSMUSG00000023087,Noct
ENSMUST00000080217.13,Ppm1b-201,ENSMUSG00000061130,Ppm1b
ENSMUST00000038091.7,Sde2-201,ENSMUSG00000038806,Sde2
ENSMUST00000206736.1,Gm45095-201,ENSMUSG00000108333,Gm45095
ENSMUST00000167403.3,H3c15-201,ENSMUSG00000081058,Hist2h3c2
ENSMUST00000197391.1,Gm43823-201,ENSMUSG00000106224,Gm43823
ENSMUST00000205533.1,Gm45218-201,ENSMUSG00000108308,Gm45218
ENSMUST00000039046.9,Il17f-201,ENSMUSG00000041872,Il17f
ENSMUST00000051754.1,Pcdhb3-201,ENSMUSG00000045498,Pcdhb3
ENSMUST00000184934.1,0,0,0
ENSMUST00000234040.1,Gm26885-202,ENSMUSG00000097125,Gm26885
ENSMUST00000171737.2,Odc1-201,ENSMUSG00000011179,Odc1
ENSMUST00000021997.7,Rsl1-201,ENSMUSG00000058900,Rsl1
ENSMUST00000047953.9,3010003L21Rik-201,ENSMUSG00000085355,3010003L21Rik
ENSMUST00000021552.2,Zfp36l1-201,ENSMUSG00000021127,Zfp36l1
ENSMUST00000082390.1,mt-Rnr2-201,ENSMUSG00000064339,mt-Rnr2
ENSMUST00000020308.4,Ddit4-201,ENSMUSG00000020108,Ddit4
ENSMUST00000231483.1,Gm49774-201,ENSMUSG00000116657,
ENSMUST00000028735.7,Jag1-201,ENSMUSG00000027276,Jag1
ENSMUST00000147186.1,Gm11730-202,ENSMUSG00000087057,Gm11730
ENSMUST00000055770.3,H1f1-201,ENSMUSG00000049539,Hist1h1a
ENSMUST00000208130.1,Frmpd3-203,ENSMUSG00000042425,Frmpd3
ENSMUST00000201992.1,Gm43597-202,ENSMUSG00000107096,Gm43597
ENSMUST00000099326.9,0,0,0
ENSMUST00000067599.1,Gm9947-201,ENSMUSG00000054493,Gm9947
ENSMUST00000024811.8,Pim1-201,ENSMUSG00000024014,Pim1
ENSMUST00000021693.3,Slc25a29-201,ENSMUSG00000021265,Slc25a29
ENSMUST00000020546.2,Stc2-201,ENSMUSG00000020303,Stc2
ENSMUST00000038073.4,Catsper2-201,ENSMUSG00000033486,Catsper2
ENSMUST00000167352.1,Atp6v0e-202,ENSMUSG00000015575,Atp6v0e
ENSMUST00000114565.7,Tmeff2-202,ENSMUSG00000026109,Tmeff2
ENSMUST00000050715.9,Pcsk5-202,ENSMUSG00000024713,Pcsk5
ENSMUST00000139042.7,4930405A21Rik-202,ENSMUSG00000086638,4930405A21Rik
ENSMUST00000025193.13,Brd2-201,ENSMUSG00000024335,Brd2
ENSMUST00000115335.1,St6gal1-202,ENSMUSG00000022885,St6gal1
ENSMUST00000010239.5,Slc3a2-201,ENSMUSG00000010095,Slc3a2
ENSMUST00000058669.14,Gnat2-201,ENSMUSG00000009108,Gnat2
ENSMUST00000176742.1,Gm20633-201,ENSMUSG00000093553,Gm20633
