Target_genes,Score
Kctd11,146.872093
Mex3a,146.697674
Irf2bp2,146.511628
Fmnl1,146.511628
Atp1a1,146.5
Fcrl1,146.476744
Atg16l1,146.453488
H4bc24,146.081395
H2bc23,146.081395
H2ac24,146.081395
H2ac23,146.081395
Kdm5c,145.790698
Cyp1b1,145.744186
Ywhaz,145.72093
Ncapd2,145.662791
Mrpl51,145.662791
LOC666331,145.604651
Gm11634,145.604651
Tcam1,145.593023
Smarcd2,145.593023
Ubr7,145.465116
Gon7,145.465116
Gm20604,145.465116
H1f3,145.36046499999998
Katnb1,145.162791
Tbc1d9b,145.046512
H3c6,145.0
Tecpr1,144.93023300000002
Gtf2f1,144.883721
Bin3,144.755814
Suco,144.732558
Pcgf5,144.651163
Pold4,144.43023300000002
Rnf149,144.337209
Utp14b,144.267442
Acsl3,144.267442
Fchsd2,144.209302
Sugct,144.116279
Mplkip,144.116279
Cflar,144.093023
Sema6b,144.0
Cluap1,143.744186
1700037C18Rik,143.744186
Rrp12,143.709302
Rpain,143.686047
Nup88,143.686047
H2bc8,143.63953500000002
Selenop,143.581395
Fam166a,143.465116
Cacnb3,143.44186000000002
Krcc1,143.43023300000002
Ube2s,143.27907
Hspa5,143.27907
Trim25,143.05813999999998
Asb2,142.790698
Il10,142.651163
Faap20,142.56976699999998
Eci2,142.56976699999998
Tox2,142.453488
Tmem209,142.383721
Ssmem1,142.383721
Ndufa8,142.348837
Morn5,142.348837
Sltm,142.302326
Zfp945,142.232558
Smc1a,142.186047
Ribc1,142.186047
Tuba1b,142.174419
Gbp8,142.162791
Ftl1,141.988372
Bax,141.988372
Hexim1,141.953488
H2bc21,141.94186000000002
H2ac21,141.94186000000002
H2ac20,141.94186000000002
Arid3a,141.918605
Nsf,141.895349
Stpg3,141.86046499999998
Smyd1,141.593023
Smc6,141.453488
Gen1,141.453488
Tmem167b,141.325581
Rab27a,141.255814
Fam220a,141.174419
Fas,141.093023
Nrtn,140.86046499999998
Dus3l,140.86046499999998
Defb22,140.267442
Defb20,140.267442
Prdx1,140.232558
Ptpn6,140.209302
Ubc,139.872093
Pigbos1,139.837209
Pigb,139.837209
Pgap2,139.709302
Nup98,139.709302
Srgap2,139.453488
Fam72a,139.453488
Rubcnl,139.232558
Il12rb2,139.127907
Ergic2,139.081395
Ubtd1,138.802326
Mms19,138.802326
Mark4,138.674419
Exoc3l2,138.674419
Tle3,138.662791
Mpzl3,138.534884
Npc2,138.197674
Isca2,138.197674
Maff,138.046512
H4c6,137.825581
Nras,137.581395
Odc1,137.534884
Cdk7,137.476744
Slc14a2,137.290698
Dcaf5,137.244186
Nop58,137.093023
Plekho2,136.988372
Pif1,136.988372
Hnrnph1,136.93023300000002
Vamp1,136.813953
Rps21,136.802326
Id3,136.767442
Gcnt1,136.604651
Zbtb4,136.476744
Slc35g3,136.476744
Polr2a,136.476744
Actg1,136.151163
Tnrc6b,136.13953500000002
Ifna13,136.13953500000002
Hsd3b7,135.825581
Trp53inp1,135.790698
Tti2,135.767442
Ypel5,135.732558
H2ac4,135.709302
Ccnl1,135.686047
Zmynd8,135.662791
Eef1a1,135.627907
Txlna,135.616279
Il2ra,135.56976699999998
Dusp7,135.488372
Bard1,135.313953
Spout1,135.290698
Endog,135.290698
Epb41,135.232558
Grcc10,135.034884
Rab26,134.406977
Bnip3,134.372093
Clptm1l,134.348837
Traf7,134.232558
H2ac8,133.674419
Sigirr,133.465116
Eif4a2,133.372093
Slc3a2,133.27907
Hipk1,133.255814
Ripor2,133.197674
Gngt2,133.093023
Abi3,133.093023
Pomc,133.081395
P4ha1,133.046512
Litaf,132.965116
Nup214,132.825581
Zswim6,132.77907
Camkk2,132.697674
Efhd2,132.43023300000002
Adck1,132.034884
Ints6,131.94186000000002
Cd63,131.651163
E2f2,131.616279
Ier5,131.255814
Cdkn1a,131.104651
Gip,130.965116
Leo1,130.918605
Irs2,130.906977
Uqcrq,130.86046499999998
Leap2,130.86046499999998
H3c8,130.86046499999998
Gdf9,130.86046499999998
Asxl2,130.86046499999998
Elmsan1,130.732558
Calm1,130.72093
Rrp1b,130.55813999999998
Calr,130.534884
Prkcq,130.488372
Rad23a,130.290698
Elmo2,130.267442
Ctnnb1,130.22093
Dnaja3,130.046512
Coro7,130.046512
Rsrp1,129.895349
H1f4,129.755814
B430306N03Rik,129.674419
Sgms1,129.511628
Paqr4,129.44186000000002
Arhgef12,129.372093
Rwdd1,129.348837
Slc4a7,129.22093
Ppat,129.174419
Paics,129.174419
Spata13,129.151163
Farsa,129.06976699999998
Gimap9,128.825581
Tmem50a,128.43023300000002
Ubald2,128.209302
Cltb,128.162791
Ttbk2,128.104651
Ly6i,127.953488
Tmtc4,127.94186
Cltc,127.73255800000001
Kremen2,127.511628
Rpp38,127.406977
Acbd7,127.406977
Pak6,127.023256
Prkdc,126.895349
Mcm4,126.895349
Nme2,126.84883700000002
Mmgt1,126.813953
Gspt1,126.80232600000001
Vps4a,126.593023
Map4k1,126.44186
Eif3k,126.44186
Hsf2bp,126.162791
Ier5l,126.104651
Zfp949,125.813953
Snrnp35,125.80232600000001
Rilpl2,125.80232600000001
Ptges3,125.73255800000001
Maf,125.73255800000001
Tspan13,125.5
Txnrd1,125.465116
Eid3,125.465116
C2cd2l,125.29069799999999
Pipox,125.26744199999999
Huwe1,125.186047
Nbeal1,125.174419
Prickle3,125.162791
Gabarap,125.162791
Cd151,125.011628
Smad7,124.79069799999999
Capg,124.69767399999999
Trim30a,124.62790700000001
Mettl25,124.62790700000001
Ccdc59,124.62790700000001
Plscr1,124.476744
Mmp24,124.44186
H4c11,124.162791
Tpm3,124.116279
Slc25a19,123.976744
Pip4p1,123.895349
Osgep,123.895349
Apex1,123.895349
Baiap2,123.86046499999999
Ndst1,123.84883700000002
Ttc23,123.69767399999999
Lrrc28,123.69767399999999
Gimap7,123.511628
Tubb4b,123.465116
Slc34a3,123.465116
Ppp1r16b,123.337209
Parp9,123.325581
Dtx3l,123.325581
Rnf151,123.29069799999999
Parp16,123.29069799999999
Ttc39b,123.0
Nedd9,122.86046499999999
Mpdu1,122.86046499999999
Eif4a1,122.86046499999999
Cd68,122.86046499999999
Zfp706,122.825581
St3gal4,122.77906999999999
Tubb1,122.72093000000001
Ifitm5,122.69767399999999
Mmgt2,122.523256
Lrrc75a,122.523256
Rplp0,122.476744
Gcn1,122.476744
Tspan4,122.418605
Polr2l,122.418605
Slc38a2,122.313953
Snx10,122.30232600000001
Eef2,122.25581399999999
Zfp825,122.116279
Il17a,121.988372
Celsr1,121.906977
Hmox2,121.837209
Sertad2,121.813953
Tnfrsf8,121.65116299999998
Elp5,121.604651
Myo1c,121.534884
Batf,121.534884
Igfbp6,121.476744
H4c18,121.44186
Naa16,121.430233
Mtrf1,121.430233
Unkl,121.24418600000001
Rbfox2,121.23255800000001
Pknox1,120.930233
Tarbp2,120.895349
Map3k12,120.895349
Alyref2,120.80232600000001
Cipc,120.76744199999999
Hipk3,120.72093000000001
Klf6,120.70930200000001
Dgat1,120.662791
Mpzl1,120.616279
Sympk,120.581395
Arpc1b,120.569767
Pgs1,120.55814
Scarb2,120.418605
Nfkbie,120.383721
Esyt1,120.162791
Atp6v0a1,120.12790700000001
Zc3h12a,120.093023
Tmem184a,120.093023
Fam227b,120.046512
Dtwd1,120.046512
Idh1,120.023256
Tsc22d1,119.883721
Irf8,119.616279
Hcn3,119.546512
Gm45927,119.546512
Clk2,119.546512
Rbm15b,119.046512
Manf,119.046512
Srsf5,119.034884
Itga6,118.976744
Wwp1,118.965116
Pagr1a,118.883721
Susd6,118.84883700000002
Kat6a,118.84883700000002
Topors,118.77906999999999
Smim27,118.77906999999999
Slc37a4,118.76744199999999
Vmn2r102,118.72093000000001
Fth1,118.63953500000001
Nupr1,118.36046499999999
Akna,118.36046499999999
H3c7,118.26744199999999
H2bc9,118.26744199999999
