transcript_ids,transcript_names,gene_ids,genes_names
ENSMUST00000233733.1,Klhdc3-205,ENSMUSG00000063576,Klhdc3
ENSMUST00000036206.13,Ccdc92-201,ENSMUSG00000037979,Ccdc92
ENSMUST00000196705.1,Gm43375-201,ENSMUSG00000106262,Gm43375
ENSMUST00000207787.1,Trappc5-202,ENSMUSG00000040236,Trappc5
ENSMUST00000082422.1,mt-Tt-201,ENSMUSG00000064371,mt-Tt
ENSMUST00000112942.1,Mterf4-202,ENSMUSG00000026273,Mterf4
ENSMUST00000019616.5,Icam5-201,ENSMUSG00000032174,Icam5
ENSMUST00000225111.1,Gm49336-205,ENSMUSG00000114797,Gm49336
ENSMUST00000177251.1,Gm20692-201,ENSMUSG00000093739,Gm20692
ENSMUST00000082423.1,mt-Tp-201,ENSMUSG00000064372,mt-Tp
ENSMUST00000062092.6,Cdca4-201,ENSMUSG00000047832,Cdca4
ENSMUST00000157899.1,Snord2-201,ENSMUSG00000088524,Snord2
ENSMUST00000176558.1,Hnrnpk-210,ENSMUSG00000021546,Hnrnpk
ENSMUST00000224291.1,Zdhhc6-205,ENSMUSG00000024982,Zdhhc6
ENSMUST00000111474.7,Cdk2ap1-204,ENSMUSG00000029394,Cdk2ap1
ENSMUST00000020837.6,Myo19-201,ENSMUSG00000020527,Myo19
ENSMUST00000094818.3,Chpf-202,ENSMUSG00000032997,Chpf
ENSMUST00000089236.10,Pnma2-201,ENSMUSG00000046204,Pnma2
ENSMUST00000115795.8,Nde1-202,ENSMUSG00000022678,Nde1
ENSMUST00000058119.8,Arxes2-201,ENSMUSG00000048040,Arxes2
ENSMUST00000068140.5,Tmem158-201,ENSMUSG00000054871,Tmem158
ENSMUST00000116813.1,Gm22489-201,ENSMUSG00000080463,Gm22489
ENSMUST00000083355.1,Gm23650-201,ENSMUSG00000065289,Gm23650
ENSMUST00000082946.1,Gm24201-201,ENSMUSG00000064880,Gm24201
ENSMUST00000106226.8,Tial1-202,ENSMUSG00000030846,Tial1
ENSMUST00000101293.10,Mgat1-202,ENSMUSG00000020346,Mgat1
ENSMUST00000106768.1,Kpna2-202,ENSMUSG00000018362,Kpna2
ENSMUST00000198607.4,Tent4a-202,ENSMUSG00000034575,Tent4a
ENSMUST00000139017.1,Gm12359-201,ENSMUSG00000075576,Gm12359
ENSMUST00000080149.5,Eno1-201,ENSMUSG00000063524,Eno1
ENSMUST00000180299.7,Dlgap5-208,ENSMUSG00000037544,Dlgap5
ENSMUST00000082411.1,mt-Nd3-201,ENSMUSG00000064360,mt-Nd3
ENSMUST00000098470.8,Rbmx-201,ENSMUSG00000031134,Rbmx
ENSMUST00000117446.7,Pttg1-204,ENSMUSG00000020415,Pttg1
ENSMUST00000026084.4,Slc18a2-201,ENSMUSG00000025094,Slc18a2
ENSMUST00000198213.1,Mir3960-201,ENSMUSG00000105841,Mir3960
ENSMUST00000048544.13,Bicd2-201,ENSMUSG00000037933,Bicd2
ENSMUST00000205975.1,Mypopos-202,ENSMUSG00000086533,Mypopos
ENSMUST00000082738.1,Gm22806-201,ENSMUSG00000064672,Gm22806
ENSMUST00000204883.1,Gm44200-201,ENSMUSG00000107937,Gm44200
ENSMUST00000099482.4,Grk6-202,ENSMUSG00000074886,Grk6
ENSMUST00000203345.2,Tpra1-219,ENSMUSG00000002871,Tpra1
ENSMUST00000155737.7,Gnb4-205,ENSMUSG00000027669,Gnb4
ENSMUST00000156687.7,Plekhb2-203,ENSMUSG00000026123,Plekhb2
ENSMUST00000192346.1,Gm38067-201,ENSMUSG00000103569,Gm38067
ENSMUST00000020911.13,Sdc1-201,ENSMUSG00000020592,Sdc1
ENSMUST00000082407.1,mt-Atp8-201,ENSMUSG00000064356,mt-Atp8
ENSMUST00000233233.1,Ndufa11-202,ENSMUSG00000002379,Ndufa11
ENSMUST00000129275.2,Usp46os1-201,ENSMUSG00000087250,Usp46os1
ENSMUST00000107801.9,Tead2-203,ENSMUSG00000030796,Tead2
ENSMUST00000065047.12,Rsrc1-202,ENSMUSG00000034544,Rsrc1
ENSMUST00000174946.1,Gm25744-201,ENSMUSG00000092687,Gm25744
ENSMUST00000052631.7,Snai1-201,ENSMUSG00000042821,Snai1
ENSMUST00000183191.2,Rian-216,ENSMUSG00000097451,Rian
ENSMUST00000163194.1,Gm17112-201,ENSMUSG00000090873,Gm17112
ENSMUST00000056256.2,4933415A04Rik-201,ENSMUSG00000045877,4933415A04Rik
ENSMUST00000207442.1,Bub3-203,ENSMUSG00000066979,Bub3
ENSMUST00000194465.1,Gm37285-201,ENSMUSG00000103756,Gm37285
ENSMUST00000083034.1,Snord47-201,ENSMUSG00000064968,Snord47
ENSMUST00000035822.1,Calhm2-201,ENSMUSG00000033033,Calhm2
ENSMUST00000224992.1,Fcho2-208,ENSMUSG00000041685,Fcho2
ENSMUST00000140304.1,Pigq-209,ENSMUSG00000025728,Pigq
ENSMUST00000138559.8,Ube4a-204,ENSMUSG00000059890,Ube4a
ENSMUST00000127442.7,Ppp1r18-203,ENSMUSG00000034595,Ppp1r18
ENSMUST00000168622.1,Ppp1r3e-201,ENSMUSG00000072494,Ppp1r3e
ENSMUST00000051997.8,Hmx2-201,ENSMUSG00000050100,Hmx2
ENSMUST00000197233.1,Gm43071-201,ENSMUSG00000105272,Gm43071
ENSMUST00000221902.1,Gm48062-201,ENSMUSG00000113852,Gm48062
ENSMUST00000122232.7,Furin-203,ENSMUSG00000030530,Furin
ENSMUST00000138442.1,2810455O05Rik-201,ENSMUSG00000085030,2810455O05Rik
ENSMUST00000194994.1,Gm37309-201,ENSMUSG00000103046,Gm37309
ENSMUST00000112320.7,Spc25-202,ENSMUSG00000005233,Spc25
ENSMUST00000233129.1,Srpk1-210,ENSMUSG00000004865,Srpk1
ENSMUST00000225210.1,Cdc37l1-207,ENSMUSG00000024780,Cdc37l1
ENSMUST00000220281.1,Gm48086-201,ENSMUSG00000112229,Gm48086
ENSMUST00000221408.1,Gm47469-201,ENSMUSG00000113047,Gm47469
ENSMUST00000109054.2,Gm14443-201,ENSMUSG00000078902,Gm14443
ENSMUST00000105038.2,Gm3550-201,ENSMUSG00000078240,Gm3550
ENSMUST00000203078.1,Bmt2-202,ENSMUSG00000042742,Bmt2
ENSMUST00000121043.1,Hoxa10-201,ENSMUSG00000000938,Hoxa10
ENSMUST00000168520.2,Atp23-202,ENSMUSG00000025436,Atp23
ENSMUST00000115168.8,Cep19-202,ENSMUSG00000035790,Cep19
ENSMUST00000031435.13,Kdm2b-201,ENSMUSG00000029475,Kdm2b
ENSMUST00000083338.1,Snord57-201,ENSMUSG00000065272,Snord57
ENSMUST00000213276.1,Rbm7-202,ENSMUSG00000042396,Rbm7
ENSMUST00000110888.7,Tsc22d1-204,ENSMUSG00000022010,Tsc22d1
ENSMUST00000041367.8,Dcaf15-201,ENSMUSG00000037103,Dcaf15
ENSMUST00000119792.1,Anapc7-202,ENSMUSG00000029466,Anapc7
ENSMUST00000184333.1,Nedd4-207,ENSMUSG00000032216,Nedd4
ENSMUST00000235889.1,Gm50367-201,ENSMUSG00000118135,Gm50367
ENSMUST00000117994.7,Cip2a-202,ENSMUSG00000033031,Cip2a
ENSMUST00000110378.8,Snx25-203,ENSMUSG00000038291,Snx25
ENSMUST00000037119.3,Dlx1-201,ENSMUSG00000041911,Dlx1
ENSMUST00000083419.1,Snora73b-201,ENSMUSG00000065353,Snora73b
ENSMUST00000161494.1,Glcci1-203,ENSMUSG00000029638,Glcci1
ENSMUST00000082409.1,mt-Co3-201,ENSMUSG00000064358,mt-Co3
ENSMUST00000183449.1,Mir6960-201,ENSMUSG00000098698,Mir6960
ENSMUST00000144398.1,St6galnac2-206,ENSMUSG00000110170,St6galnac2
ENSMUST00000122643.1,Mir1898-201,ENSMUSG00000084592,Mir1898
ENSMUST00000205023.1,Wbp1-209,ENSMUSG00000030035,Wbp1
ENSMUST00000146207.5,Tmem175-204,ENSMUSG00000013495,Tmem175
ENSMUST00000152600.1,Gm15344-201,ENSMUSG00000084899,Gm15344
ENSMUST00000180778.1,Gm26813-201,ENSMUSG00000097819,Gm26813
ENSMUST00000139443.7,Hmgb1-208,ENSMUSG00000066551,Hmgb1
ENSMUST00000187764.1,Gm29156-201,ENSMUSG00000100480,Gm29156
ENSMUST00000153023.1,Tmem51os1-204,ENSMUSG00000073728,Tmem51os1
ENSMUST00000115481.7,Med14-203,ENSMUSG00000064127,Med14
ENSMUST00000083928.1,Gm24029-201,ENSMUSG00000065862,Gm24029
ENSMUST00000003947.8,Nqo1-201,ENSMUSG00000003849,Nqo1
ENSMUST00000109150.8,Cacnb3-202,ENSMUSG00000003352,Cacnb3
ENSMUST00000200774.1,Gm42648-201,ENSMUSG00000106682,Gm42648
ENSMUST00000108623.7,Rps9-202,ENSMUSG00000006333,Rps9
ENSMUST00000238342.1,Srcin1-210,ENSMUSG00000038453,Srcin1
ENSMUST00000196955.1,Gm42659-201,ENSMUSG00000105655,Gm42659
ENSMUST00000206533.1,4732496C06Rik-201,ENSMUSG00000108456,4732496C06Rik
ENSMUST00000096316.3,Naa10-202,ENSMUSG00000031388,Naa10
ENSMUST00000082700.1,Gm22620-201,ENSMUSG00000064634,Gm22620
ENSMUST00000223679.1,Ndst2-202,ENSMUSG00000039308,Ndst2
ENSMUST00000083226.1,Gm50452-201,ENSMUSG00000065160,Gm50452
ENSMUST00000110806.7,Brat1-203,ENSMUSG00000000148,Brat1
ENSMUST00000161416.1,Gm16333-201,ENSMUSG00000090057,Gm16333
ENSMUST00000123700.1,Mir142hg-201,ENSMUSG00000084796,Mir142hg
ENSMUST00000102704.3,Rad54l-201,ENSMUSG00000028702,Rad54l
ENSMUST00000108556.1,Pld2-202,ENSMUSG00000020828,Pld2
ENSMUST00000082982.1,Gm22573-201,ENSMUSG00000064916,Gm22573
ENSMUST00000114461.2,Abcd1-202,ENSMUSG00000031378,Abcd1
ENSMUST00000206822.1,Gm44706-201,ENSMUSG00000108425,Gm44706
ENSMUST00000202081.1,Gm42600-201,ENSMUSG00000107278,Gm42600
ENSMUST00000175254.1,Mir16-1-201,ENSMUSG00000092995,Mir16-1
